ID,category,spanish,korean,quiz,answer,level
262,몇시에,¿A qué hora cierra la biblioteca nacional?,몇 시에 국립 도서관이 닫아요?,¿A qué hora ( ) la biblioteca nacional? ,cierra,중
263,몇시에,La biblioteca nacional cierra a las diez de la noche.,밤 10시에 닫아요.,La biblioteca nacional cierra a las diez de la ( ).,noche,중
264,몇시에,¿A qué hora sale el vuelo a Londres?,몇 시에 런던행 비행기가 출발해요?,¿A qué hora ( ) el vuelo a Londres? ,sale,중
265,몇시에,El vuelo a Londres sale a las tres menos cinco de la tarde.,오후 2시 55분에 출발해.,El vuelo a Londres sale a las tres ( ) de la tarde. ,menos cinco,중
266,몇시에,¿A qué hora llega el vuelo de Toronto?,몇 시에 토론토 출발행 비행기가 도착해?,¿A qué hora ( ) el vuelo de Toronto? ,llega,중
267,몇시에,El vuelo de toronto llega a las once y diez de la mañana.,오전 11시 10분에 도착해.,El vuelo de toronto llega a las once ( ) de la mañana.,y diez,하
268,몇시에,¿A qué hora empieza la clase de español?,몇 시에 스페인어 수업이 시작해?,¿A qué hora ( ) la clase de español? ,empieza,중
269,몇시에,La clase de español empieza a las siete y veinte de la mañana.,오전 7시 20분에 시작해.,La clase de español empieza a las siete ( ) de la mañana. ,y veinte,하
270,몇시에,¿A qué hora empieza el partido de fútbol?,몇 시에 축구 경기가 시작해?,¿A qué hora ( ) el partido de fútbol?,empieza,중
271,몇시에,El partido de fútbol empieza a las seis y catorce de la tarde.,오후 6시 14분에 시작해.,El partido de fútbol empieza a las seis ( ) de la tarde. ,y catorce,하
272,몇시에,¿A qué hora termina la clase de matemáticas?,몇 시에 수학 수업이 끝나?,¿A qué hora ( ) la clase de matemáticas? ,termina,중
273,몇시에,La clase de matemáticas termina a las cinco en punto de la tarde.,오후 5시 정각에 끝나.,La clase de matemáticas termina a las cinco ( ) de la tarde. ,en punto,중
274,몇시에,¿A qué hora termina la reunión?,몇 시에 모임이 끝나?,¿A qué hora ( ) la reunión?,termina,중
275,몇시에,La reunión termina a las doce menos cuarto de la noche.,밤 11시 45분에 끝나.,La reunión termina a las doce ( ) de la noche. ,menos cuarto,중
276,날씨,¿Qué tiempo hace?,날씨가 어때요?,¿Qué ( ) hace?,tiempo,중
277,날씨,Hace calor.,날씨가 덥다.,Hace ( ). ,calor,중
278,날씨,Hace frío.,날씨가 춥다.,Hace ( ). ,frío,중
279,날씨,Hace sol.,화창하다.,Hace ( ). ,sol,중
280,날씨,Hace viento.,바람이 분다.,Hace ( ). ,viento,중
281,날씨,Está lloviendo.,비가 오고 있다.,Está ( ).,lloviendo,중
282,날씨,Está nevando.,눈이 오고 있다.,Está ( ).,nevando,중
283,숫자,uno,1,( ),uno,하
284,숫자,dos,2,( ),dos,하
285,숫자,tres,3,( ),tres,하
286,숫자,cuatro,4,( ),cuatro,하
287,숫자,cinco,5,( ),cinco,하
288,숫자,seis,6,( ),seis,하
289,숫자,siete,7,( ),siete,하
290,숫자,ocho,8,( ),ocho,하
291,숫자,nueve,9,( ),nueve,하
292,숫자,diez,10,( ),diez,하
293,숫자,once,11,( ),once,하
294,숫자,doce,12,( ),doce,하
295,숫자,trece,13,( ),trece,하
296,숫자,catorce,14,( ),catorce,하
297,숫자,quince,15,( ),quince,하
298,숫자,dieciséis,16,( ),dieciséis,중 
299,숫자,diecisiete,17,( ),diecisiete,하
300,숫자,dieciocho,18,( ),dieciocho,하
301,숫자,diecisueve,19,( ),diecisueve,하
302,숫자,veinte,20,( ),veinte,하
303,숫자,veintiuno,21,( ),veintiuno,하
304,숫자,veintidós,22,( ),veintidós,중 
305,숫자,veintitrés,23,( ),veintitrés,중
306,숫자,veinticuatro,24,( ),veinticuatro,하
307,숫자,veinticinco,25,( ),veinticinco,하
308,숫자,veintiséis,26,( ),veintiséis,중
309,숫자,veintisiete,27,( ),veintisiete,하
310,숫자,veintiocho,28,( ),veintiocho,하
311,숫자,veintinueve,29,( ),veintinueve,하
312,숫자,treinta,30,( ),treinta,하
313,숫자,treinta y uno,31,( ),treinta y uno,하
314,숫자,treinta y dos,32,( ),treinta y dos,하
315,숫자,treinta y tres,33,( ),treinta y tres,하
316,숫자,treinta y cuatro,34,( ),treinta y cuatro,하
317,숫자,treinta y cinco,35,( ),treinta y cinco,하
318,숫자,treinta y seis,36,( ),treinta y seis,하
319,숫자,treinta y siete,37,( ),treinta y siete,하
320,숫자,treinta y ocho,38,( ),treinta y ocho,하
321,숫자,treinta y nueve,39,( ),treinta y nueve,하
322,숫자,cuarenta,40,( ),cuarenta,하
323,숫자,cuarenta y uno,41,( ),cuarenta y uno,하
324,숫자,cuarenta y dos,42,( ),cuarenta y dos,하
325,숫자,cuarenta y tres,43,( ),cuarenta y tres,하
326,숫자,cuarenta y cuatro,44,( ),cuarenta y cuatro,하
327,숫자,cuarenta y cinco,45,( ),cuarenta y cinco,하
328,숫자,cuarenta y seis,46,( ),cuarenta y seis,하
329,숫자,cuarenta y siete,47,( ),cuarenta y siete,하
330,숫자,cuarenta y ocho,48,( ),cuarenta y ocho,하
331,숫자,cuarenta y nueve,49,( ),cuarenta y nueve,하
332,숫자,cincuenta,50,( ),cincuenta,하
333,숫자,cincuenta y uno,51,( ),cincuenta y uno,하
334,숫자,cincuenta y dos,52,( ),cincuenta y dos,하
335,숫자,cincuenta y tres,53,( ),cincuenta y tres,하
336,숫자,cincuenta y cuatro,54,( ),cincuenta y cuatro,하
337,숫자,cincuenta y cinco,55,( ),cincuenta y cinco,하
338,숫자,cincuenta y seis,56,( ),cincuenta y seis,하
339,숫자,cincuenta y siete,57,( ),cincuenta y siete,하
340,숫자,cincuenta y ocho,58,( ),cincuenta y ocho,하
341,숫자,cincuenta y nueve,59,( ),cincuenta y nueve,하
342,숫자,sesenta,60,( ),sesenta,하
343,숫자,sesenta y uno,61,( ),sesenta y uno,하
344,숫자,sesenta y dos,62,( ),sesenta y dos,하
345,숫자,sesenta y tres,63,( ),sesenta y tres,하
346,숫자,sesenta y cuatro,64,( ),sesenta y cuatro,하
347,숫자,sesenta y cinco,65,( ),sesenta y cinco,하
348,숫자,sesenta y seis,66,( ),sesenta y seis,하
349,숫자,sesenta y siete,67,( ),sesenta y siete,하
350,숫자,sesenta y ocho,68,( ),sesenta y ocho,하
351,숫자,sesenta y nueve,69,( ),sesenta y nueve,하
352,숫자,setenta,70,( ),setenta,하
353,숫자,setenta y uno,73,( ),setenta y uno,하
354,숫자,setenta y dos,72,( ),setenta y dos,하
355,숫자,setenta y tres,73,( ),setenta y tres,하
356,숫자,setenta y cuatro,74,( ),setenta y cuatro,하
357,숫자,setenta y cinco,75,( ),setenta y cinco,하
358,숫자,setenta y seis,76,( ),setenta y seis,하
359,숫자,setenta y siete,77,( ),setenta y siete,하
360,숫자,setenta y ocho,78,( ),setenta y ocho,하
361,숫자,setenta y nueve,79,( ),setenta y nueve,하
362,숫자,ochenta,80,( ),ochenta,하
363,숫자,ochenta y uno,81,( ),ochenta y uno,하
364,숫자,ochenta y dos,82,( ),ochenta y dos,하
365,숫자,ochenta y tres,83,( ),ochenta y tres,하
366,숫자,ochenta y cuatro,84,( ),ochenta y cuatro,하
367,숫자,ochenta y cinco,85,( ),ochenta y cinco,하
368,숫자,ochenta y seis,86,( ),ochenta y seis,하
369,숫자,ochenta y siete,87,( ),ochenta y siete,하
370,숫자,ochenta y ocho,88,( ),ochenta y ocho,하
371,숫자,ochenta y nueve,89,( ),ochenta y nueve,하
372,숫자,noventa,90,( ),noventa,하
373,숫자,noventa y uno,91,( ),noventa y uno,하
374,숫자,noventa y dos,92,( ),noventa y dos,하
375,숫자,noventa y tres,93,( ),noventa y tres,하
376,숫자,noventa y cuatro,94,( ),noventa y cuatro,하
377,숫자,noventa y cinco,95,( ),noventa y cinco,하
378,숫자,noventa y seis,96,( ),noventa y seis,하
379,숫자,noventa y siete,97,( ),noventa y siete,하
380,숫자,noventa y ocho,98,( ),noventa y ocho,하
381,숫자,noventa y nueve,99,( ),noventa y nueve,하
382,숫자,cien,100,( ),cien,하
